2020-04-03 20:38:59 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='118.70.52.116', port=8080): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000208379DEEB8>, 'Connection to 118.70.52.116 timed out. (connect timeout=10)'))
2020-04-03 20:39:09 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x0000020837A1ADD8>, 'Connection to 118.70.52.116 timed out. (connect timeout=10)'))
2020-04-03 20:39:19 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='177.104.82.220', port=8080): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000208379DE160>, 'Connection to 177.104.82.220 timed out. (connect timeout=10)'))
2020-04-03 20:39:29 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x00000208379DE320>, 'Connection to 177.104.82.220 timed out. (connect timeout=10)'))
2020-04-03 20:39:39 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='103.206.131.213', port=49509): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000020837A1AC50>, 'Connection to 103.206.131.213 timed out. (connect timeout=10)'))
2020-04-03 20:39:49 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x0000020837A1A4E0>, 'Connection to 103.206.131.213 timed out. (connect timeout=10)'))
2020-04-03 20:39:59 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='92.245.142.215', port=8080): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000020837A09B70>, 'Connection to 92.245.142.215 timed out. (connect timeout=10)'))
2020-04-03 20:40:23 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='47.52.234.239', port=8888): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000020837A3E4E0>, 'Connection to 47.52.234.239 timed out. (connect timeout=10)'))
2020-04-03 20:40:33 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x0000020837A3E668>, 'Connection to 47.52.234.239 timed out. (connect timeout=10)'))
2020-04-03 20:40:43 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='200.69.87.166', port=999): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000020837A1A9B0>, 'Connection to 200.69.87.166 timed out. (connect timeout=10)'))
2020-04-03 20:40:53 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x0000020837A1A080>, 'Connection to 200.69.87.166 timed out. (connect timeout=10)'))
2020-04-03 20:40:54 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ProxyError('Cannot connect to proxy.', OSError('Tunnel connection failed: 400 Bad Request')))
2020-04-03 20:40:54 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='190.186.76.19', port=8197): Max retries exceeded with url: http://httpbin.org/get (Caused by ProxyError('Cannot connect to proxy.', RemoteDisconnected('Remote end closed connection without response')))
2020-04-03 20:40:58 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ProxyError('Cannot connect to proxy.', ConnectionAbortedError(10053, '你的主机中的软件中止了一个已建立的连接。', None, 10053, None)))
2020-04-03 20:41:08 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='60.217.64.237', port=38829): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000208379DE668>, 'Connection to 60.217.64.237 timed out. (connect timeout=10)'))
2020-04-03 22:53:40 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='118.175.207.25', port=38325): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000170FA31AC18>, 'Connection to 118.175.207.25 timed out. (connect timeout=10)'))
2020-04-03 22:53:50 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x00000170FA3447F0>, 'Connection to 118.175.207.25 timed out. (connect timeout=10)'))
2020-04-03 22:54:00 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='103.81.104.141', port=8080): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000170FA344550>, 'Connection to 103.81.104.141 timed out. (connect timeout=10)'))
2020-04-03 22:54:10 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x00000170FA3645F8>, 'Connection to 103.81.104.141 timed out. (connect timeout=10)'))
2020-04-03 22:54:20 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='91.230.199.174', port=45248): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000170F8CCE9E8>, 'Connection to 91.230.199.174 timed out. (connect timeout=10)'))
2020-04-03 22:54:30 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x00000170FA344B70>, 'Connection to 91.230.199.174 timed out. (connect timeout=10)'))
2020-04-03 22:54:40 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='103.197.48.178', port=8080): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000170FA364E48>, 'Connection to 103.197.48.178 timed out. (connect timeout=10)'))
2020-04-03 22:54:50 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x00000170FA364DA0>, 'Connection to 103.197.48.178 timed out. (connect timeout=10)'))
2020-04-03 22:55:08 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='118.175.207.25', port=38325): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001C74618DE48>, 'Connection to 118.175.207.25 timed out. (connect timeout=10)'))
2020-04-03 22:55:29 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x000001C74618DB70>, 'Connection to 103.81.104.141 timed out. (connect timeout=10)'))
